Property ID 	 Description 	 Represents 	 Domain 	 Allowed Values 	 Examples 	 Data Type
P144	The work(s) used as basis for subject. See also separated from (P807), inspired by (P941), depicts (P180), main subject (P921) and named after (P138).	null	work (Q386724)	Any other item (note: this should be moved to the property statements)	According to this template: A (Q9659) => Alpha (Q9887), Ubuntu (Q381) => Debian (Q7593), Statue of Zeus at Olympia (Q46239) => Iliad (Q8275), National Anthem of Russia (Q1225991) => National Anthem of the Soviet Union (Q251918), RSS (Q45432) => XML (Q2115) According to statements in the property: A (Q9659) ? Alpha (Q9887) Ubuntu (Q381) ? Debian (Q7593) Statue of Zeus at Olympia (Q46239) ? Iliad (Q8275) National Anthem of Russia (Q1225991) ? National Anthem of the Soviet Union (Q251918) RSS (Q45432) ? XML (Q2115) When possible, data should only be stored as statements	Item
P264	brand and trademark associated with the marketing of subject music recordings and music videos	record label (Q18127)	work (Q386724) : music, records, albums...	items that are instances of "record label" - record label (Q18127) (note: this should be moved to the property statements)	According to this template: A Night at the Opera (Q193477) => EMI (Q183412), Daft Punk (Q185828) => Columbia Records (Q183387), Lorde (Q13476175) => Universal Music Group (Q38903) According to statements in the property: A Night at the Opera (Q193477) ? EMI (Q183412) Daft Punk (Q185828) ? Columbia Records (Q183387) Lorde (Q13476175) ? Universal Music Group (Q38903) When possible, data should only be stored as statements	Item
P1108	The electronegativity of a chemical element	electronegativity (Q78974)	chemical element (Q11344)	0 to 4 (note: this should be moved to the property statements)	hydrogen (Q556): 2.2 ; francium (Q671): 0.7 ; fluorine (Q650): 3.98 (note: this should be moved to the property statements)	Number
P1109	refractive index of a substance with wavelength and temperature as qualifiers	refractive index (Q174102)	term	null	halite (Q5314) ? 1.5443	Number
P1107	used as a qualifier.	null	qualifier for properties, any time of item	number between 0 and 1 (note: this should be moved to the property statements)	company X is 40 % owned by Y, Earth atmosphere is composed of 80% dinitrogen and 20% dioxygen (note: this should be moved to the property statements)	Number
P1349	the number of sets of chromosomes in the nucleus of a cell	null	genome (Q7020)	subclass of ploidy (Q118406) (note: this should be moved to the property statements)	According to this template: human genome (Q720988) ploidy: diploid (Q504520) According to statements in the property: human genome (Q720988) ? diploid (Q504520) When possible, data should only be stored as statements	Item
P1104	Total number of pages that contains the book, article, etc.	null	Mainly published materials.	null	A Game of Thrones 1st ed UK hardback <total number of pages> 672 (note: this should be moved to the property statements)	Number
P1346	the person/team/etc. who won the given competition/contest/etc.	winner (Q18560095)	competition (Q476300)	human (Q5), musical ensemble (Q2088357), sports team (Q12973014), etc. (note: this should be moved to the property statements)	According to this template: 2010 FIFA World Cup (Q176883) => Spain national football team (Q42267), Eurovision Song Contest 2014 (Q5354210) => Conchita Wurst (Q113581) According to statements in the property: 2015 Tour de France (Q15220420) ? Chris Froome (Q319591) 2015 Il Lombardia (Q19598850) ? Vincenzo Nibali (Q312322) 2010 FIFA World Cup (Q176883) ? Spain national football team (Q42267) Eurovision Song Contest 2014 (Q5354210) ? Conchita Wurst (Q113581) When possible, data should only be stored as statements	Item
P1347	classification of military casualty, e.g. killed in action, missing in action, died of wounds, prisoner of war	null	human (Q5)	killed in action (Q210392), missing in action (Q2344557), died of wounds (Q16861372), prisoner of war (Q179637), killed in flight accident (Q16861407), others used in military casualty classification (note: this should be moved to the property statements)	Nina Onilova (Q4334896) military casualty classification died of wounds (Q16861372) (note: this should be moved to the property statements)	Item
P1589	point with lowest elevation in the country, region, city or area	null	place	placenames (note: this should be moved to the property statements)	According to this template: Earth (Q2) => Challenger Deep (Q459173) According to statements in the property: Earth (Q2) ? Challenger Deep (Q459173) When possible, data should only be stored as statements	Item
